"id","bookid","description","bbid","cnt","seqno"
1,GENI,Genesis,1,50,1
2,EXOD,Exodus,1,40,2
3,LEVI,Leviticus,1,27,4
4,NBRS,Numbers,1,36,6
5,DEUT,Deuteronomy,1,34,3
6,JOSH,Joshua,1,24,5
7,JUDG,Judges,1,21,7
8,RUTH,Ruth,1,4,8
9,"1SAM","1 Samuel",1,31,9
10,"2SAM","2 Samuel",1,24,10
11,"1KIN","1 Kings",1,22,11
12,"2KIN","2 Kings",1,25,12
13,"1CHR","1 Chronicles",1,29,13
14,"2CHR","2 Chronicles",1,36,14
15,EZRA,Ezra,1,10,15
16,NEHE,Nehemiah,1,13,16
17,ESTH,Esther,1,10,17
18,JOB,Job,1,42,18
19,PSMS,Psalms,1,150,19
20,PRVS,Proverbs,1,31,20
21,ECCL,Ecclesiastes,1,12,21
22,SSOL,Song of Solomon,1,8,22
23,ISAI,Isaiah,1,66,23
24,JERE,Jeremiah,1,52,24
25,LAME,Lamentations,1,5,25
26,EZEK,Ezekiel,1,48,26
27,DANI,Daniel,1,12,27
28,HOSE,Hosea,1,14,28
29,JOEL,Joel,1,3,29
30,AMOS,Amos,1,9,30
31,OBAD,Obadiah,1,1,31
32,JONA,Jonah,1,4,32
33,MICA,Micah,1,7,33
34,NAHU,Nahum,1,3,34
35,HABA,Habakkuk,1,3,35
36,ZEPH,Zephaniah,1,3,36
37,HAGG,Haggai,1,2,37
38,ZECH,Zechariah,1,14,38
39,MALA,Malachi,1,4,39
40,MATT,Matthew,2,28,40
41,MARK,Mark,2,16,41
42,LUKE,Luke,2,24,42
43,JOHN,John,2,21,43
44,ACTS,Acts,2,28,44
45,ROMS,Romans,2,16,45
46,"1COR","1 Corinthians",2,16,46
47,"2COR","2 Corinthians",2,13,47
48,GALA,Galatians,2,6,48
49,EPHE,Ephesians,2,6,49
50,PHIL,Philippians,2,4,50
51,COLO,Colossians,2,4,51
52,"1THE","1 Thessalonians",2,5,52
53,"2THE","2 Thessalonians",2,3,53
54,"1TIM","1 Timothy",2,6,54
55,"2TIM","2 Timothy",2,4,55
56,TITU,Titus,2,3,56
57,PHIL,Philemon,2,4,57
58,HEBR,Hebrews,2,13,58
59,JAME,James,2,5,59
60,"1PET","1 Peter",2,5,60
61,"2PET","2 Peter",2,3,61
62,"1JHN","1 John",2,5,62
63,"1JHN","2 John",2,5,63
64,"3JHN","3 John",2,1,64
65,JUDE,Jude,2,1,65
66,REVE,Revelation,2,22,66
